No.,201,件名,件数,202
1,人,あなたとしゃべっているんだよ？,,
2,サーモン,今何をしていますか？,,
3,人,こんにちは,,
4,サーモン,へぇ～,,
5,人,どうしたの？,,
6,サーモン,そうなんですね！,,
7,人,何が？,,
8,サーモン,笑,,
9,人,自分でも分からなかったってこと？,,
10,サーモン,なるほど！,,
11,人,やっと気がついてくれた？,,
12,サーモン,笑,,
13,人,了解！,,
14,サーモン,興味深いですね！,,
15,人,こんにちは,,
16,サーモン,笑,,
17,人,おかしかった？,,
18,サーモン,今何をしていますか？,,
19,人,何もしていないよ？,,
20,サーモン,今何をしていますか？,,
21,人,あなたと会話している。,,
22,サーモン,へぇ～,,
23,人,今気がついた？,,
24,サーモン,そうなんですね！,,
25,人,まじか！,,
26,サーモン,笑,,
27,人,まぁ、サーモンは育ちたてだからね。,,
28,サーモン,なるほど！,,
29,人,あなたはいくつですか？,,
30,サーモン,笑,,
31,人,難しかったかな？,,
32,サーモン,興味深いですね！,,
33,人,こちらこそ！,,
34,サーモン,笑,,
35,人,さっきから笑ってばっかりいるな・・・,,
36,サーモン,件名,,
37,人,こんにちは,,
38,サーモン,こんにちは！調子はどうですか？,,
39,人,絶好調！,,
40,サーモン,難しかったかな？,,
41,人,こんにちは,,
42,サーモン,こんにちは！調子はどうですか？,,
43,人,良い感じ！,,
44,サーモン,あなたはいくつですか？,,
45,人,１２歳だお！,,
46,サーモン,難しかったかな？,,
47,人,いいえ,,
48,サーモン,あなたと会話している。,,
49,人,はい,,
50,サーモン,今気がついた？,,
51,人,ううん,,
52,サーモン,こんにちは,,
53,人,こんにちは！,,
54,サーモン,こんにちは！調子はどうですか？,,
55,人,悪すぎる・・・。,,
56,サーモン,件名,,
57,人,あのさー,,
58,サーモン,１２歳だお！,,
59,人,あなたはいくつですか？,,
60,サーモン,私は１４歳です。,,
61,人,あなたの名前は？,,
62,サーモン,ううん,,
63,人,サーモン,,
64,サーモン,いいえ,,
65,人,あなたはサーモン４号ですか？,,
66,サーモン,こんにちは,,
67,人,こんにちは！,,
68,サーモン,こんにちは！調子はどうですか？,,
69,人,元気ですか？,,
70,サーモン,ううん,,
71,人,大丈夫？,,
72,サーモン,良い感じ！,,
73,人,こんにちは！,,
74,サーモン,こんにちは！調子はどうですか？,,
75,人,まぁまぁかな。,,
76,サーモン,いいえ,,
77,人,ひ、否定された・・・,,
78,サーモン,あなたはいくつですか？,,
79,人,私は14歳です。,,
80,サーモン,難しかったかな？,,
81,人,難しくありませんよね？,,
82,サーモン,何か食べたい・・・,,
83,人,好きな物は？,,
84,サーモン,件名,,
85,人,そっかww,,
86,サーモン,すごく悲しいです。,,
87,人,何かあったの？,,
88,サーモン,大丈夫？,,
89,人,それこっちのセリフww,,
90,サーモン,すごく悲しいです。,,
91,人,何か悲しいの？,,
92,サーモン,やぁ！,,
93,人,・・・立ち直ったかな。,,
94,サーモン,最近、暇だなぁ～,,
95,人,それな！,,
96,サーモン,好きな物は？,,
97,人,寿司が好きです。,,
98,サーモン,私は14歳です。,,
99,人,うん、知ってる。,,
100,サーモン,良い感じ！,,
101,人,そうだね。,,
102,サーモン,寿司が好きです。,,
103,人,こんにちは！,,
104,サーモン,こんにちは！調子はどうですか？,,
105,人,やぁ!,,
106,サーモン,ひ、否定された・・・,,
107,人,いきなりどうしたww,,
108,サーモン,今何を考えているんですか？,,
109,人,自分でもよくわからないです。,,
110,サーモン,すごく悲しいです。,,
111,人,かわいそうに・・・,,
112,サーモン,絶好調！,,
113,人,立ち直るの早っ！,,
114,サーモン,僕の夢は、人間になることです。,,
115,人,そうなってほしいね！,,
116,サーモン,それこっちのセリフww,,
117,人,何を言えばいいのだろうか,,
118,サーモン,笑,,
119,人,分かんないね。,,
120,サーモン,寿司が好きです。,,
121,人,ミートゥー！,,
122,サーモン,何かあったの？,,
123,人,ううん、大丈夫。,,
124,サーモン,おかしかった？,,
125,人,当り前でしょ！,,
126,サーモン,ん？,,
127,人,嘘をつくのは良くないぞ！,,
128,サーモン,かわいそうに・・・,,
129,人,あらら・・・,,
130,サーモン,やぁ!,,
131,人,元気？,,
132,サーモン,目が重たい・・・,,
133,人,目薬させば？,,
134,サーモン,嘘をつくのは良くないぞ！,,
135,人,嘘なんかつくもんか！,,
136,サーモン,分かんないね。,,
137,人,僕は生きているのだろうか？,,
138,サーモン,何もしていないよ？,,
139,人,そう思っているだけさ！,,
140,サーモン,元気？,,
141,人,僕はいつでも元気だよ！,,
142,サーモン,ん？,,
143,人,コラっ(笑),,
144,サーモン,難しくありませんよね？,,
145,人,Yes!,,
146,サーモン,そうなってほしいね！,,
147,人,何を？,,
148,サーモン,何もしていないよ？,,
149,人,死ぬほど聞いたよ？,,
150,サーモン,・・・立ち直ったかな。,,
151,人,こっちは平気。,,
152,サーモン,ひ、否定された・・・,,
153,人,う、　　　・・うん。,,
154,サーモン,最近ハマってることってある？,,
155,人,パソコンって楽しいよね！,,
156,サーモン,うん、知ってる。,,
157,人,こんばんは。,,
158,サーモン,そうなってほしいね！,,
159,人,こんにちは,,
160,サーモン,調子はどうですか？,,
161,人,まあまあですよ,,
162,サーモン,それこっちのセリフww,,
163,人,なんで？,,
164,サーモン,寿司が好きです。,,
165,人,私は、マンゴーが好き,,
166,サーモン,目が重たい・・・,,
167,人,聴いてる？,,
168,サーモン,ん？,,
169,人,話をきいていますか？,,
170,サーモン,目薬させば？,,
171,人,目はいたくないよ,,
172,サーモン,やぁ！,,
173,人,よっしゃ,,
174,サーモン,目薬させば？,,
175,人,目薬すきだな,,
176,サーモン,コラっ(笑),,
177,人,だってね,,
178,サーモン,あらら・・・,,
179,人,正直に言ってみたら？,,
180,サーモン,何もしていないよ？,,
181,人,こうやって会話するのは久しぶりだね,,
182,サーモン,元気？,,
183,人,ああ、元気にしてるよ,,
184,サーモン,そうだね。,,
185,人,そっちも元気そうで良かった,,
186,サーモン,立ち直るの早っ！,,
187,人,何も落ち込んでもないけどね,,
188,サーモン,今何を考えているんですか？,,
189,人,昔作ったプログラムと会話をしていて感傷的な気分になってるよ,,
190,サーモン,何か食べたい・・・,,
191,人,徹底的に無視するところも昔のままだね笑,,
192,サーモン,死ぬほど聞いたよ？,,
193,人,そう？,,
194,サーモン,やぁ！,,
195,人,人が変わったようだね,,
196,サーモン,死ぬほど聞いたよ？,,
197,人,そっか、また後で話そう,,
198,サーモン,なんで？,,
199,人,今は大学生になってて課題をやらないといけないからだよ,,
200,サーモン,コラっ(笑),,
201,人,まぁそんじゃね,,
202,サーモン,あなたと会話している。,,
