No.,件名,件数,91
1,やぁ！,,
2,おかしかった？,,
3,何もしていないよ？,,
4,あなたと会話している。,,
5,今気がついた？,,
6,まじか！,,
7,まぁ、サーモンは育ちたてだからね。,,
8,あなたはいくつですか？,,
9,難しかったかな？,,
10,こちらこそ！,,
11,さっきから笑ってばっかりいるな・・・,,
12,頭痛が・・・,,
13,絶好調！,,
14,僕の夢は、人間になることです。,,
15,良い感じ！,,
16,最近、暇だなぁ～,,
17,いいえ,,
18,はい,,
19,ううん,,
20,最近ハマってることってある？,,
21,目が重たい・・・,,
22,ん？,,
23,うひょ！,,
24,今何を考えているんですか？,,
25,何か食べたい・・・,,
26,すごく悲しいです。,,
27,ありがとう！,,
28,元気ですか？,,
29,大丈夫？,,
30,まぁまぁかな。,,
31,ひ、否定された・・・,,
32,私は14歳です。,,
33,難しくありませんよね？,,
34,好きな物は？,,
35,そっかww,,
36,何かあったの？,,
37,それこっちのセリフww,,
38,何か悲しいの？,,
39,・・・立ち直ったかな。,,
40,それな！,,
41,寿司が好きです。,,
42,うん、知ってる。,,
43,そうだね。,,
44,やぁ!,,
45,いきなりどうしたww,,
46,自分でもよくわからないです。,,
47,かわいそうに・・・,,
48,立ち直るの早っ！,,
49,そうなってほしいね！,,
50,何を言えばいいのだろうか,,
51,分かんないね。,,
52,ミートゥー！,,
53,ううん、大丈夫。,,
54,当り前でしょ！,,
55,嘘をつくのは良くないぞ！,,
56,あらら・・・,,
57,元気？,,
58,目薬させば？,,
59,嘘なんかつくもんか！,,
60,僕は生きているのだろうか？,,
61,そう思っているだけさ！,,
62,僕はいつでも元気だよ！,,
63,コラっ(笑),,
64,Yes!,,
65,何を？,,
66,死ぬほど聞いたよ？,,
67,こっちは平気。,,
68,う、　　　・・うん。,,
69,パソコンって楽しいよね！,,
70,こんばんは。,,
71,まあまあですよ,,
72,なんで？,,
73,私は、マンゴーが好き,,
74,聴いてる？,,
75,話をきいていますか？,,
76,目はいたくないよ,,
77,よっしゃ,,
78,目薬すきだな,,
79,だってね,,
80,正直に言ってみたら？,,
81,こうやって会話するのは久しぶりだね,,
82,ああ、元気にしてるよ,,
83,そっちも元気そうで良かった,,
84,何も落ち込んでもないけどね,,
85,昔作ったプログラムと会話をしていて感傷的な気分になってるよ,,
86,徹底的に無視するところも昔のままだね笑,,
87,そう？,,
88,人が変わったようだね,,
89,そっか、また後で話そう,,
90,今は大学生になってて課題をやらないといけないからだよ,,
91,まぁそんじゃね,,
